skytales,064860A14E1736C3EED2F0030AC4E7B03A79C0B9,M,78.47.139.98,9090,1.6879069999999998,112789,51.000000/9.000000,2015-07-10T00:00:00.000Z
SingaRbel,C9005FD96871890E3EE95A4F12AC39F100CE755F,M,128.199.95.126,9001,0.7348429999999999,10336877,1.293100/103.855797,2015-07-10T00:00:00.000Z
default,8F09B72E228BD46C8F3BA424059E9FA911243362,MH,217.19.24.216,443,1.4673610000000001,517756,52.366699/4.900000,2015-07-10T00:00:00.000Z
relay808,209CC674BFC8764D79A180FB58B1477D6FE3B753,M,76.91.194.4,9001,1.250814,129686,38.000000/-97.000000,2015-07-10T00:00:00.000Z
lolieditedtheconfig,D1E12AFDA18A7B37F2CF9C05AD0CEE254923E908,M,95.215.46.46,443,1.728495,950441,59.329399/18.068600,2015-07-10T00:00:00.000Z
000000s3,CA609D36D09419BFE159EDA6FE72143001CFF068,MGH,84.200.12.61,9001,3.442932,664418,51.000000/9.000000,2015-07-10T00:00:00.000Z
SGGSHK1,075A4D8D7662DF566FCE390FC820C539BFBBA867,MH,124.6.32.230,443,0.620539,2484042,22.250000/114.166702,2015-07-10T00:00:00.000Z
VoyeurQuartz,C43B1086D94970A15EA8F9F43C6F6AF31D419F12,MH,66.175.211.242,9009,0.62989,4447022,39.489899/-74.477303,2015-07-10T00:00:00.000Z
UniLandau2,B10B6518A41F26B96331E9C1B63C8464A0799887,MH,139.14.13.236,443,1.5938510000000001,774042,49.207500/8.113300,2015-07-10T00:00:00.000Z
Vadelma,8827944C4BDCBDAC9079803F47823403C11A9B7A,MH,79.223.71.148,443,1.1666759999999998,750724,51.000000/9.000000,2015-07-10T00:00:00.000Z
MacserverTorRelay,930E1555684025EF3821ACA4F5503C88A9877000,M,82.244.177.39,9001,0.054835999999999996,64844,48.860001/2.350000,2015-07-10T00:00:00.000Z
yaor,03A7930A66E834632BCEED634D7AB56E35B9E2FA,M,50.116.0.149,9001,2.174554,3472181,39.489899/-74.477303,2015-07-10T00:00:00.000Z
welladjusted,C8B696D5D5B92BBD0ED243E04A0CF31E93FC537D,M,176.9.180.47,9001,0.25629,1174621,51.000000/9.000000,2015-07-10T00:00:00.000Z
schnappsundnutten,639AE2B8235E49568B71A226DF774D2A714FEADE,MGH,5.196.28.186,443,6.236561,697201,48.860001/2.350000,2015-07-10T00:00:00.000Z
4n08o,E59C199512FE52C4DBBDA382F7D6D53A099CAF32,M,77.21.10.161,9001,0.0886,1603408,51.000000/9.000000,2015-07-10T00:00:00.000Z
Montharkan10,117B7F36D4125770771085A7D0A4939A3CD88409,MGH,213.202.219.198,995,5.705811,2008895,51.000000/9.000000,2015-07-10T00:00:00.000Z
QuantumLeopard,92D684DB856B3260960AD66A79A66927E7A0B3AF,MH,95.88.21.57,9001,0.13676,462570,49.568401/8.160500,2015-07-10T00:00:00.000Z
AviatoChortler,5C83EF015106B21132BC602639FAF8D693330A7C,MGEH,91.230.121.131,9001,47.642386,4255832,50.450001/30.523300,2015-07-10T00:00:00.000Z
ChaoticNeutral,D22CF1B9B69F0B4EE08E2A6192EDDBCE4B70E97A,MH,66.228.54.195,9001,1.217638,11127803,39.489899/-74.477303,2015-07-10T00:00:00.000Z
DigiGesTor2e1,88487BDD980BF6E72092EE690E8C51C0AA4A538C,MGE,176.10.104.243,443,18.643968,61,47.000000/8.000000,2015-07-10T00:00:00.000Z
